"WellCount","MeasuredEquipmentLeaks","MeasuredChemicalInjectionPumps","MeasuredTanks","HCProduced","WaterProduced","GasProduced","Wellheadpressure","Age","ProducingType","WellStruct","TotalPneumaticControllers","TotalChemicalInjectionPumps","Combuster","tracerflux","emissionsSum"
8,2,2,5,891.56,75.53,3.93,1294,6.1,"shale gas","Horizontal",9,3,"No","No",447.1141818
7,5,4,16,783.6,762.74,39.73,1784,0.62,"Other Tight Reservoir Rock & Shale","Directional",15,6,"Yes","No",435.8113001
5,2,0,0,0,36.7,4.06,484,1,"shale gas","Horizontal",5,5,"No","No",315.572598
10,10,0,0,0,36.7,9.33,3293,10.23,"shale gas","Horizontal",23,0,"Yes","Yes",315.572598
10,9,5,5,2019.82,45.08,2.35,2825,7.61,"Other Tight Reservoir Rock","Horizontal",23,5,"No","No",313.8690694
14,11,2,17,286.46,755.91,39.37,3298,11.36,"Other Tight Reservoir Rock & Shale","Horizontal",21,5,"No","No",313.5481445
15,3,5,12,981.27,152.22,7.93,3097,10.86,"shale gas","Vertical",23,7,"No","Yes",313.053952
10,6,2,17,1261.21,268.61,13.99,2653,7.05,"Other Tight Reservoir Rock","Directional",20,2,"No","Yes",312.9117081
15,10,2,8,871.08,254.07,13.23,3356,7.42,"Other Tight Reservoir Rock & Shale","Directional",32,5,"No","No",312.337217
13,13,1,11,235.64,585.57,30.5,3097,9.73,"Other Tight Reservoir Rock & Shale","Horizontal",21,6,"No","Yes",312.2160473
12,11,5,11,2569.16,479.37,24.97,3231,8.79,"Other Tight Reservoir Rock & Shale","Horizontal",23,6,"No","No",311.5248482
11,7,3,7,2612.55,35.03,1.82,1323,8.52,"Other Tight Reservoir Rock","Directional",25,4,"No","Yes",310.9190868
13,7,2,7,1729.19,582.19,30.32,3112,7.54,"Other Tight Reservoir Rock & Shale","Horizontal",20,6,"No","No",310.9125967
11,6,3,10,2182.36,469.98,24.48,3418,10.75,"shale gas","Horizontal",22,4,"No","Yes",310.1251434
13,7,5,0,2728.02,224.68,11.7,3114,8.24,"shale gas","Horizontal",32,6,"Yes","No",309.9061226
12,9,1,6,1517.49,358.12,18.65,3011,9.24,"shale gas","Directional",22,1,"No","No",309.2243536
14,2,1,18,272.77,517.89,26.97,3176,7.04,"shale gas","Vertical",6,2,"No","Yes",308.5451461
13,6,1,8,2695.05,166.65,8.68,3199,8.55,"shale gas","Vertical",5,3,"No","No",308.2951335
11,6,3,5,2381.07,273.78,14.26,3263,9.02,"shale gas","Horizontal",26,7,"No","Yes",307.5708698
12,5,4,18,655.77,262.29,13.66,2952,10.33,"shale gas","Vertical",9,7,"Yes","Yes",305.6826643
14,7,4,20,1446.44,432.8,22.54,3000,10.34,"Other Tight Reservoir Rock","Directional",30,5,"No","No",305.5523696
10,3,6,8,2820.13,106.83,5.56,3054,11.82,"Other Tight Reservoir Rock","Vertical",13,9,"No","No",305.3581835
11,5,1,15,1559.59,620.25,32.3,3262,11.98,"Other Tight Reservoir Rock","Vertical",6,1,"No","No",305.3150508
10,1,2,4,334.73,650.69,33.89,3244,8.41,"Other Tight Reservoir Rock & Shale","Vertical",16,7,"No","No",305.1980128
12,5,5,9,847.94,261.17,13.6,3142,7.26,"Other Tight Reservoir Rock & Shale","Vertical",5,7,"Yes","Yes",303.8135104
11,9,2,7,940.7,164.31,8.56,2735,10.38,"Other Tight Reservoir Rock & Shale","Directional",20,5,"No","No",303.4986884
11,1,3,14,1149.03,743.32,38.71,3262,9.12,"Other Tight Reservoir Rock","Vertical",6,6,"No","No",302.6105871
10,7,1,18,69.31,764.69,39.83,2865,8.81,"shale gas","Directional",22,3,"No","Yes",301.9258441
13,8,5,12,1619.77,313.99,16.35,3387,7.25,"Other Tight Reservoir Rock","Directional",20,8,"No","Yes",301.6875431
12,6,2,18,75.86,462.25,24.08,2518,9.34,"Other Tight Reservoir Rock & Shale","Horizontal",31,6,"No","No",301.6574279
14,9,1,9,1460.71,594.96,30.99,2790,8.54,"Other Tight Reservoir Rock","Directional",29,4,"No","Yes",301.3846764
14,8,4,2,2573.1,212.73,11.08,2994,11.89,"Other Tight Reservoir Rock & Shale","Directional",25,9,"No","No",301.0421901
14,10,2,7,2531.88,721.77,37.59,2696,8.62,"Other Tight Reservoir Rock","Directional",31,7,"No","Yes",300.5053317
11,6,1,9,715.05,825.71,43.01,2665,11.5,"shale gas","Vertical",8,5,"No","No",299.2021773
13,10,3,10,2905.53,630.3,32.83,3380,10.72,"Other Tight Reservoir Rock","Horizontal",27,3,"Yes","No",298.8585769
12,8,4,14,905.25,167.46,8.72,2757,10.12,"Other Tight Reservoir Rock & Shale","Horizontal",31,7,"No","Yes",298.0911955
10,12,5,12,664.87,754.75,39.31,3421,10.48,"shale gas","Horizontal",22,6,"No","Yes",297.2524652
13,6,1,3,201.29,355.9,18.54,3193,9.55,"Other Tight Reservoir Rock & Shale","Horizontal",26,3,"No","Yes",296.8268488
12,10,5,5,2261.67,403.91,21.04,3068,7.3,"Other Tight Reservoir Rock","Horizontal",30,8,"No","No",295.9190977
14,8,4,13,1395.76,847.7,44.15,3440,9.95,"Other Tight Reservoir Rock & Shale","Directional",20,7,"No","Yes",295.9107023
15,2,2,7,405.84,620.89,32.34,3420,8.69,"Other Tight Reservoir Rock & Shale","Vertical",14,2,"No","No",295.7848124
11,4,6,1,158.12,296.59,15.45,2607,9.58,"shale gas","Vertical",7,8,"No","Yes",295.1201153
14,9,1,12,2616.86,431.24,22.46,2854,11.74,"Other Tight Reservoir Rock","Directional",27,2,"No","Yes",293.8508272
11,9,6,8,302.67,109.17,5.69,2648,7.68,"Other Tight Reservoir Rock","Horizontal",27,9,"No","No",293.5325135
11,10,2,8,2729.5,541.82,28.22,3108,8.63,"Other Tight Reservoir Rock & Shale","Horizontal",25,2,"No","No",293.059293
12,7,5,9,1333.24,321.58,16.75,2992,10.88,"shale gas","Horizontal",32,8,"No","Yes",291.2897445
13,2,2,14,1748.42,749.45,39.03,3161,11.37,"Other Tight Reservoir Rock & Shale","Vertical",7,6,"No","Yes",291.0085849
11,2,6,16,1329.18,600.6,31.28,3372,11.44,"Other Tight Reservoir Rock & Shale","Directional",24,10,"No","Yes",290.1573926
11,6,3,8,1591.95,607.84,31.66,3213,7.75,"Other Tight Reservoir Rock","Directional",21,4,"No","No",289.0492919
12,4,4,16,2453.44,622.83,32.44,3261,11.27,"Other Tight Reservoir Rock & Shale","Directional",22,4,"No","Yes",288.7343887
15,8,3,17,2480.91,879.03,45.78,3193,7.24,"Other Tight Reservoir Rock & Shale","Horizontal",30,4,"No","No",288.6683274
12,7,6,12,1147.78,803.46,41.85,2531,8.34,"Other Tight Reservoir Rock & Shale","Horizontal",23,7,"Yes","Yes",288.6109606
12,4,3,5,2712.45,418.91,21.82,3213,11.03,"shale gas","Vertical",19,5,"No","Yes",288.4399371
15,1,1,7,2250.7,843.46,43.93,3422,7.29,"Other Tight Reservoir Rock","Vertical",6,4,"No","Yes",288.06084
15,10,5,1,2430.92,711.92,37.08,2814,7.65,"shale gas","Directional",29,6,"No","No",288.0201696
11,6,6,6,1940.38,860.56,44.82,3307,10.34,"Other Tight Reservoir Rock & Shale","Directional",31,9,"No","Yes",286.6711301
15,9,6,19,1060.73,245.73,12.8,2988,11.91,"shale gas","Horizontal",23,8,"No","No",286.6614636
15,10,5,3,728.84,856.69,44.62,3439,9.32,"shale gas","Directional",32,6,"No","Yes",286.5927628
12,4,2,13,2512.78,649.51,33.83,3255,7.27,"Other Tight Reservoir Rock & Shale","Vertical",9,6,"No","No",286.2588021
13,5,2,13,2669.61,673.76,35.09,2502,10.74,"shale gas","Vertical",16,4,"No","Yes",285.1332766
11,2,1,5,1003.06,544.49,28.36,3233,10.54,"Other Tight Reservoir Rock & Shale","Vertical",6,2,"No","Yes",285.0438113
15,7,4,14,992.55,106.09,5.53,2634,8.53,"Other Tight Reservoir Rock","Horizontal",25,6,"No","Yes",283.2315054
14,4,3,14,2636.39,228.07,11.88,2537,11.94,"Other Tight Reservoir Rock","Horizontal",29,6,"No","No",283.1433263
10,1,3,12,346.37,196.35,10.23,3264,9.5,"Other Tight Reservoir Rock & Shale","Vertical",8,4,"No","Yes",283.0325796
7,1,0,2,0,58,26.27,512,1,"shale gas","Horizontal",12,0,"No","No",282.7947045
15,7,0,2,0,9.32,0.49,2554,9.64,"shale gas","Horizontal",32,6,"No","No",282.7947045
11,12,2,3,289.78,836.18,43.55,2602,9.74,"Other Tight Reservoir Rock","Horizontal",21,3,"No","No",282.2718524
15,5,3,4,2557.98,669.6,34.88,2922,9.58,"Other Tight Reservoir Rock & Shale","Vertical",8,4,"No","No",282.1547303
11,10,4,19,2179.81,284.78,14.83,2697,10.1,"shale gas","Horizontal",30,6,"No","Yes",280.6728245
10,3,5,15,1952.03,238.95,12.45,2985,11.41,"Other Tight Reservoir Rock & Shale","Vertical",6,9,"No","Yes",279.5381635
14,10,5,6,890.23,151.04,7.87,3307,7.68,"Other Tight Reservoir Rock & Shale","Directional",25,7,"No","No",278.0302428
15,4,4,19,2003.69,773.95,40.31,3138,10.06,"Other Tight Reservoir Rock & Shale","Vertical",8,5,"No","Yes",277.5055551
10,4,4,12,64.2,305.66,15.92,3315,9.04,"Other Tight Reservoir Rock","Vertical",20,8,"Yes","No",276.8693216
10,7,2,17,2911.29,274.47,14.3,2863,11.79,"shale gas","Directional",27,7,"No","No",276.8272983
14,1,1,19,1098.01,369.66,30.61,3351,7.87,"Other Tight Reservoir Rock","Vertical",8,3,"No","No",276.1498511
12,5,1,11,2105.68,903.31,47.05,3387,10.87,"Other Tight Reservoir Rock","Vertical",9,5,"No","No",276.0021216
11,8,1,4,2597.96,70.33,3.66,2812,9.77,"shale gas","Horizontal",20,5,"No","No",275.9600159
14,3,3,3,92.39,451.46,23.51,2618,10.4,"Other Tight Reservoir Rock & Shale","Vertical",8,7,"No","No",275.0759434
4,8,2,10,2818.84,1209.67,21.7,1544.42,5.7,"Other Tight Reservoir Rock","Horizontal",11,2,"No","Yes",274.440441
15,10,4,4,2340.34,656.21,34.18,3426,8.3,"shale gas","Directional",24,4,"No","No",274.4228717
13,1,1,18,227.7,284.07,14.8,3317,7.05,"Other Tight Reservoir Rock","Vertical",8,2,"Yes","No",274.1425543
11,3,1,20,689.01,890.99,46.41,3323,7.78,"Other Tight Reservoir Rock & Shale","Vertical",22,3,"No","No",273.246613
1,5,4,20,299.08,1046.06,25.76,1833.37,7.8,"Other Tight Reservoir Rock","Horizontal",11,4,"No","Yes",272.8486805
12,2,1,15,1236.65,257.65,13.42,3050,11.18,"Other Tight Reservoir Rock","Vertical",21,2,"Yes","Yes",272.4977582
6,12,10,7,1875.99,962.5,6.34,451.23,6.7,"shale gas","Horizontal",6,10,"No","Yes",272.4799275
13,12,4,4,729.53,528.14,27.51,2585,8.51,"Other Tight Reservoir Rock & Shale","Directional",28,6,"No","Yes",271.1162449
1,5,2,6,452.04,1264.46,15.71,1118.1,8.5,"shale gas","Horizontal",12,2,"No","No",270.8097095
12,6,6,5,709.86,714.94,37.24,3286,7.22,"Other Tight Reservoir Rock","Directional",26,10,"No","Yes",270.147074
15,6,1,10,2551,250.08,13.03,3224,11.23,"shale gas","Directional",31,3,"No","Yes",269.8208354
14,5,4,15,1487.27,769.41,40.07,3097,10.43,"shale gas","Vertical",5,9,"Yes","No",269.2688068
10,1,5,8,593.19,716.56,37.32,3307,9.06,"Other Tight Reservoir Rock & Shale","Vertical",25,7,"No","Yes",269.0583398
8,13,5,2,488.78,1034.62,4.33,308.17,9.9,"Other Tight Reservoir Rock","Horizontal",20,5,"No","Yes",268.62748
13,4,5,10,1313.95,615.44,32.05,3198,7.78,"shale gas","Vertical",9,6,"No","Yes",268.2140221
11,10,5,3,2649.02,249.89,13.02,2512,7.49,"Other Tight Reservoir Rock & Shale","Horizontal",24,7,"No","Yes",268.1720751
2,5,10,6,40.22,90.46,25.34,1803.48,7.2,"shale gas","Horizontal",15,10,"Yes","Yes",266.7376195
14,2,5,12,300.25,857.09,44.64,2932,9.14,"Other Tight Reservoir Rock & Shale","Vertical",9,6,"No","Yes",265.8642456
5,7,6,18,2844.65,322.63,20.46,1456.17,8,"Other Tight Reservoir Rock","Horizontal",7,6,"No","Yes",265.806728
10,12,6,6,1981.72,795.91,35.18,2503.81,8,"Other Tight Reservoir Rock","Directional",19,6,"No","Yes",265.589918
11,5,5,12,11.43,426.58,22.22,3278,11.32,"Other Tight Reservoir Rock & Shale","Directional",27,6,"Yes","Yes",265.135939
13,8,4,18,443.24,483.55,25.18,3148,9.92,"shale gas","Directional",24,6,"No","Yes",265.0197916
12,8,6,9,344.44,132.46,6.9,2980,10.47,"Other Tight Reservoir Rock & Shale","Directional",29,11,"No","No",264.7727618
3,8,2,8,249.04,1131.19,9.76,694.63,5.3,"Other Tight Reservoir Rock","Directional",1,2,"No","Yes",263.825826
5,12,5,14,282.94,449.49,1.86,132.38,9.1,"Other Tight Reservoir Rock","Directional",9,5,"No","Yes",263.6270065
5,11,9,15,996.3,921.27,38.26,2723.02,8.1,"Other Tight Reservoir Rock","Directional",4,9,"No","Yes",263.3716635
9,14,5,13,1875.98,1211.88,15,1067.57,7.8,"Other Tight Reservoir Rock","Directional",19,5,"No","Yes",263.370195
5,10,2,11,1187.29,1420.94,14.37,1022.73,8.7,"Other Tight Reservoir Rock","Directional",7,2,"No","Yes",262.940425
8,11,10,6,1335.76,905.88,3.32,236.29,5.5,"Other Tight Reservoir Rock","Horizontal",5,10,"Yes","Yes",262.53876
1,5,5,15,59.29,1449.78,20.36,1449.05,9.5,"Other Tight Reservoir Rock","Directional",16,5,"No","No",261.1021655
12,10,5,16,1475.88,620.43,32.31,3453,7.36,"Other Tight Reservoir Rock & Shale","Horizontal",26,7,"No","Yes",261.016731
10,11,4,11,1024.38,391.24,34.7,2469.65,7.3,"Other Tight Reservoir Rock","Horizontal",17,3,"No","Yes",260.2104395
13,8,3,6,1775.24,714.52,37.21,3432,10.63,"Other Tight Reservoir Rock","Horizontal",13,7,"No","No",259.8862379
12,7,2,14,2857.06,418.65,21.8,2895,8.71,"Other Tight Reservoir Rock","Directional",26,5,"Yes","Yes",259.8245369
10,9,6,7,1088.83,512.06,29.26,2082.47,9.3,"Other Tight Reservoir Rock","Directional",4,1,"No","Yes",259.1405575
10,3,4,14,506,882.84,50.33,2753,11.18,"Other Tight Reservoir Rock & Shale","Vertical",9,6,"No","Yes",258.9886916
10,6,3,9,1349.19,468.27,24.39,2902,7.95,"Other Tight Reservoir Rock & Shale","Vertical",6,7,"No","Yes",258.8921407
10,5,4,18,1159.77,268.05,13.96,3088,9.28,"shale gas","Vertical",8,7,"No","Yes",257.7714248
11,5,3,19,947.67,389.91,20.31,2924,9.58,"Other Tight Reservoir Rock & Shale","Vertical",7,5,"No","Yes",257.4310854
7,8,8,5,2007.4,494.3,6.97,496.06,9.6,"Other Tight Reservoir Rock","Directional",19,8,"Yes","Yes",257.3889395
15,7,3,10,2255.8,295.77,15.4,3170,9.89,"Other Tight Reservoir Rock","Directional",26,7,"No","No",256.9720014
10,3,2,16,321.52,722.9,37.65,3361,11.6,"Other Tight Reservoir Rock","Vertical",8,4,"No","Yes",256.6655996
6,5,6,16,2966.2,442.23,31.04,2209.16,6.8,"Other Tight Reservoir Rock","Horizontal",10,6,"No","No",256.503973
10,6,4,11,696.72,930.78,5.54,394.29,8.4,"shale gas","Horizontal",9,4,"No","No",255.739154
10,9,4,13,2479.29,65.19,3.4,2939,10.38,"Other Tight Reservoir Rock","Directional",23,7,"Yes","No",255.6343685
10,3,2,9,2013.72,314.8,16.4,2722,7.49,"Other Tight Reservoir Rock & Shale","Directional",24,3,"No","No",255.4750601
6,11,7,9,1854.6,1115.32,6.89,490.37,6.5,"Other Tight Reservoir Rock","Directional",11,7,"Yes","Yes",255.0200345
9,13,9,7,2324.94,225.04,39.5,2811.27,5.2,"Other Tight Reservoir Rock","Directional",3,9,"Yes","No",254.358313
13,9,6,6,1902.33,387.92,20.2,3387,8.77,"shale gas","Horizontal",23,10,"No","Yes",253.9380232
14,11,2,4,2557.82,270.86,17.23,3248,8.87,"Other Tight Reservoir Rock","Horizontal",21,3,"Yes","Yes",253.4905388
4,10,7,10,1423.22,1105.72,1.32,93.95,6,"shale gas","Directional",16,7,"No","No",253.282469
13,7,5,15,584.03,589.01,30.68,2563,7.47,"Other Tight Reservoir Rock","Horizontal",24,8,"No","Yes",252.840972
7,8,4,7,2581.09,1325.72,29.14,2073.93,9.2,"Other Tight Reservoir Rock","Directional",20,4,"No","No",252.3116805
11,12,4,9,92.95,269.64,14.04,3463,11.1,"Other Tight Reservoir Rock","Horizontal",28,7,"No","No",252.2104276
14,6,1,13,1261.59,33.99,1.77,2840,7.82,"Other Tight Reservoir Rock","Directional",24,4,"No","Yes",251.7545109
5,12,3,14,1916.93,893.4,25.65,1825.55,5.9,"shale gas","Horizontal",13,3,"Yes","Yes",251.5320995
11,6,6,7,1009.95,657.65,34.25,2850,11.86,"shale gas","Vertical",5,7,"No","Yes",251.4061278
13,10,3,10,1176.34,842.98,43.91,3029,11.52,"shale gas","Horizontal",28,5,"No","Yes",251.2629341
15,1,3,1,2281.65,84.49,4.4,3320,9.82,"Other Tight Reservoir Rock & Shale","Vertical",9,4,"No","Yes",251.1136806
1,5,10,16,809.72,986.3,28.6,2035.5,10,"Other Tight Reservoir Rock","Horizontal",10,10,"No","No",250.8083875
